Country,Year,Annual_Hours_Worked,Productivity_PPP_Value
Austria,2014,42.9,63.8333459173285
Austria,2015,42.8,64.78049693309231
Austria,2016,42.8,64.7515267883246
Austria,2017,42.7,65.57852466045344
Austria,2018,42.5,65.9227911963929
Austria,2019,42.3,65.89764367760738
Austria,2020,42.1,68.00111649297448
Austria,2021,41.8,67.52872451777853
Austria,2022,41.7,69.74990207708616
Austria,2023,41.7,68.20275558578025
Austria,2024,41.6,68.05787832755237
Belgium,2014,41.3,69.2062435554444
Belgium,2015,41.4,69.94777934560437
Belgium,2016,41.3,69.67937862830954
Belgium,2017,41.2,69.53816160084159
Belgium,2018,41.0,69.71081943953374
Belgium,2019,41.1,70.42307571787627
Belgium,2020,40.9,73.47909181869365
Belgium,2021,40.5,71.84445956182422
Belgium,2022,40.4,71.88585748062401
Belgium,2023,40.2,71.93964371784433
Belgium,2024,40.1,72.44740938948591
Bulgaria,2014,41.2,24.302329241456288
Bulgaria,2015,41.2,24.92520484656677
Bulgaria,2016,41.2,25.453944386233022
Bulgaria,2017,41.1,25.83130645141839
Bulgaria,2018,41.0,26.696222974133235
Bulgaria,2019,40.8,27.99720485889909
Bulgaria,2020,40.7,28.26584066485967
Bulgaria,2021,40.6,30.32657854575893
Bulgaria,2022,40.4,31.68183117182452
Bulgaria,2023,40.3,30.969465113937904
Bulgaria,2024,40.2,32.069497443539106
Switzerland,2014,42.9,67.6720017052034
Switzerland,2015,42.9,67.21149502866632
Switzerland,2016,42.9,67.65679901723307
Switzerland,2017,42.9,68.73957065201998
Switzerland,2018,42.9,70.42533875042784
Switzerland,2019,42.8,70.86014403360545
Switzerland,2020,42.7,72.09860094216927
Switzerland,2021,43.6,73.96261030551214
Switzerland,2022,43.3,74.90461531387504
Switzerland,2023,43.3,74.12747283440214
Switzerland,2024,43.3,75.04755788695725
Czechia,2014,41.8,39.85076521553077
Czechia,2015,41.8,41.530348129990536
Czechia,2016,41.7,41.59466516390648
Czechia,2017,41.7,43.12570183045406
Czechia,2018,41.7,43.7070816029837
Czechia,2019,41.5,45.35631984672135
Czechia,2020,41.3,46.99528136983246
Czechia,2021,40.7,46.99179659233629
Czechia,2022,40.9,46.3125233424184
Czechia,2023,40.8,45.75782171015755
Czechia,2024,40.8,45.17919977805597
Germany,2014,41.5,63.93951458970624
Germany,2015,41.4,64.2127627709267
Germany,2016,41.3,65.13790461760048
Germany,2017,41.1,66.47537582193814
Germany,2018,41.0,66.76407071806334
Germany,2019,40.9,67.02913795955436
Germany,2020,40.5,67.46955061654867
Germany,2021,40.5,68.64647489119436
Germany,2022,40.5,69.12258421576347
Germany,2023,40.2,68.52952468063383
Germany,2024,40.2,68.2808489887507
Denmark,2014,38.8,64.31327240558912
Denmark,2015,38.9,64.93108357572515
Denmark,2016,38.7,65.55107082278597
Denmark,2017,38.7,67.03088323280573
Denmark,2018,38.5,68.16992546821623
Denmark,2019,38.3,68.75686838769928
Denmark,2020,38.3,69.49149845981977
Denmark,2021,39.3,70.04766788937914
Denmark,2022,39.1,68.40817520110825
Denmark,2023,38.9,69.19730974116345
Denmark,2024,38.7,71.51122700056146
Estonia,2014,40.8,36.4669334675423
Estonia,2015,40.8,36.16957925434861
Estonia,2016,40.6,37.00761783398178
Estonia,2017,40.5,38.3503403199325
Estonia,2018,40.6,40.96873588232772
Estonia,2019,40.5,42.0395305421113
Estonia,2020,40.4,43.50875710437004
Estonia,2021,40.2,47.20294729896504
Estonia,2022,40.1,45.45066700308709
Estonia,2023,40.1,42.62090505195138
Estonia,2024,40.1,42.04590561300618
Greece,2014,44.2,29.043954165844735
Greece,2015,44.4,30.149214042531387
Greece,2016,44.6,28.941094006355264
Greece,2017,44.3,29.679089429318275
Greece,2018,44.1,28.660588114079346
Greece,2019,43.8,29.192043537186407
Greece,2020,43.7,30.094979567444163
Greece,2021,43.2,28.98646033502908
Greece,2022,42.7,29.35572853884688
Greece,2023,42.4,29.46553305507318
Greece,2024,42.3,29.552930162056825
Spain,2014,41.6,49.76096532135509
Spain,2015,41.4,50.02215427908596
Spain,2016,41.2,50.07190920876522
Spain,2017,41.0,50.5052990452342
Spain,2018,40.9,50.49799737206702
Spain,2019,40.6,50.6697167495584
Spain,2020,40.4,50.73572722792712
Spain,2021,40.2,50.28713760496412
Spain,2022,40.4,51.17042554840671
Spain,2023,40.3,51.14721018377657
Spain,2024,40.2,51.98512346741549
Finland,2014,40.0,54.190295004324106
Finland,2015,40.0,54.217348968712265
Finland,2016,40.1,55.20804657272601
Finland,2017,40.1,57.14978858129152
Finland,2018,40.2,56.213772767450784
Finland,2019,40.2,56.65098494399301
Finland,2020,39.9,56.88776911535101
Finland,2021,38.9,57.2090022750343
Finland,2022,38.7,56.39826961179702
Finland,2023,38.8,56.35644696431937
Finland,2024,39.0,56.720169330063854
France,2014,40.5,61.88201913175927
France,2015,40.4,62.22637928858438
France,2016,40.5,62.073309505518495
France,2017,40.4,63.192617711390255
France,2018,40.4,63.25840817791073
France,2019,40.4,63.6372386894694
France,2020,40.3,63.84698588800339
France,2021,39.9,62.77896760940761
France,2022,40.0,61.96747562330941
France,2023,40.0,62.30465329637448
France,2024,39.9,62.5334457941306
Croatia,2014,41.3,28.95651427922341
Croatia,2015,41.0,30.266954178276045
Croatia,2016,40.8,31.11841843830688
Croatia,2017,40.7,31.409730282258057
Croatia,2018,40.8,31.5965557193641
Croatia,2019,40.8,29.92827069604535
Croatia,2020,40.7,28.31653229949705
Croatia,2021,40.6,31.33080627258961
Croatia,2022,40.5,33.35254465505704
Croatia,2023,40.4,33.578979291390056
Croatia,2024,40.1,33.08553171677761
Hungary,2014,40.9,36.20786865546137
Hungary,2015,40.9,36.682719690827554
Hungary,2016,40.7,36.12147973752769
Hungary,2017,40.6,37.229339129766025
Hungary,2018,40.5,39.104145132265565
Hungary,2019,40.5,40.85608615412208
